Agency Name,Profile URL,Website URL,Description,City,State,Employee Count,Min Project Size,Average Rating,Review Count,Industry Focus,Clients List,Common Project Size,Client Size Distribution
Knack Design & Production,https://themanifest.com/company/knack-design-production,http://www.knackdesign.com/,"Knack Design & Production, a small advertising company, is in San Francisco, California. The team offers advertising, branding, digital strategy, graphic design, and more.","San Francisco, CA",CA,'2 - 9,Undisclosed,,,,,,
"K2 Creative, Inc",https://themanifest.com/company/k2-creative,http://www.k2chicago.com/,"Advertising company K2 Creative, Inc was established in 2003. Located in Aurora, Illinois, their small team offers advertising, branding, graphic design, print design, and more.","Aurora, IL",IL,'2 - 9,Undisclosed,,,,,,
Brand It Marketing Communications,https://themanifest.com/company/brand-it-marketing-communications,https://www.branditonline.com,"Brand It Marketing Communications is an event marketing & planning company. Launched in 2004, the agency is located in Rockford, Ohio. The small team provides event marketing & planning, graphic design, logo, marketing strategy, and more.","Rockford, OH",OH,'2 - 9,Undisclosed,,,,,,
Goss Advertising,https://themanifest.com/company/goss-advertising,http://www.gossadvertising.com/,"Founded in 1995, Goss Advertising is an advertising company. The small Decatur, Illinois-based team provides advertising, branding, logo, print design, and more.","Decatur, IL",IL,'2 - 9,Undisclosed,,,,,,
Media Development,https://themanifest.com/company/media-development,http://www.mediadevelopment.com/,"Small advertising company Media Development, is based in Quincy, Illinois. Established in 1982, the team provides advertising, graphic design, web design, broadcast video, and more.","Quincy, IL",IL,'2 - 9,Undisclosed,,,,,,
MCS Advertising,https://themanifest.com/company/mcs-advertising-0,https://mcsadv.com/,"Advertising company MCS Advertising is based in Peru, Illinois. The agency focuses on advertising, digital strategy, email marketing, graphic design, and more and is small.The agency was established in 1993.","Peru, IL",IL,'2 - 9,Undisclosed,,,,,,
Gray Dog Design,https://themanifest.com/company/gray-dog-design,http://graydogdesign.com/,"Gray Dog Design, an advertising company, is located in Fargo, North Dakota. The small firm was launched in 2009. Their team focuses on advertising, branding, graphic design, logo, and more.","Fargo, ND",ND,'2 - 9,Undisclosed,,,,,,
Up & Running Website Design,https://themanifest.com/company/running-website-design,http://upandrunningdesign.net/,"Up & Running Website Design is a Bismarck, North Dakota-based advertising company. Founded in 2013, the small team focuses on advertising, branding, graphic design, logo, and more.","Bismarck, ND",ND,'2 - 9,Undisclosed,,,,,,
Designs On Broadway,https://themanifest.com/company/designs-broadway,http://designsonbroadway.com/,"Designs On Broadway is an advertising company. Their small team is located in Minot, North Dakota. The firm focuses on advertising, graphic design, logo, marketing strategy, and more.","Minot, ND",ND,'2 - 9,Undisclosed,,,,,,
Cleverbird Creative,https://themanifest.com/company/cleverbird-creative,http://www.cleverbirds.com/,"Cleverbird Creative is an advertising company. The Lincolnwood, Illinois-based firm was founded in 2006. The small team focuses on advertising, branding, digital strategy, web design, and more.","Lincolnwood, IL",IL,'2 - 9,Undisclosed,,,,,,
Rocklin Irving Marketing Solutions,https://themanifest.com/company/rocklin-irving-marketing-solutions,https://www.rocklinirving.com/,"Rocklin Irving Marketing Solutions, an advertising company, was launched in 1940. Headquartered in Morton Grove, Illinois, their small team specializes in advertising, event marketing & planning, logo, social media marketing, and more.","Morton Grove, IL",IL,'2 - 9,Undisclosed,,,,,,
CT Business Consulting,https://themanifest.com/company/ct-business-consulting,http://ctbusinessconsulting.com/,"CT Business Consulting is a business consulting company. The small Hartford, Connecticut-based agency was established in 2007. Their team specializes in business consulting, advertising, and marketing strategy.","Hartford, CT",CT,'2 - 9,Undisclosed,,,,,,
Sae Design,https://themanifest.com/company/sae-design,http://www.saedesign.com/,"Sae Design is an advertising company established in 1997. Their small team is located in Wailuku, Hawaii. The agency focuses on advertising, branding, packaging design, graphic design, and more.","Wailuku, HI",HI,'2 - 9,Undisclosed,,,,,,
Abovo,https://themanifest.com/company/abovo,https://www.teamabovo.com/,"Abovo is an event marketing & planning company. They are in Fargo, North Dakota and have a small team. Their services include event marketing & planning, graphic design, web design, advertising, and more. The company was established in 2015.","Fargo, ND",ND,'2 - 9,Undisclosed,,,,,,
Design Angler,https://themanifest.com/company/design-angler,https://www.designangler.com/,"Design Angler is a small advertising company. The Bemidji, Minnesota-based company was established in 2009. Their services include advertising, graphic design, out of home design, market research, and more.","Bemidji, MN",MN,'2 - 9,Undisclosed,,,,,,
Garma Graphic Design,https://themanifest.com/company/garma-graphic-design,http://www.garmagraphicdesign.com/,"In Waipahu, Hawaii, Garma Graphic Design is a graphic design company. The small company was launched in 1988. Their services include graphic design, advertising, branding, logo, and more.","Waipahu, HI",HI,'2 - 9,Undisclosed,,,,,,
"LIFT Creative, Inc.",https://themanifest.com/company/lift-creative-1,http://liftcreative.com/,"LIFT Creative, Inc. Is an Atlanta, Georgia-based packaging design company. The small team offers packaging design, advertising, branding, and print design. The firm was founded in 1992.","Atlanta, GA",GA,'2 - 9,Undisclosed,,,,,,
Mopdog Creative + Strategy,https://themanifest.com/company/mopdog-creative-strategy,https://mopdog.com/,"Founded in 1990, Mopdog Creative + Strategy is a small advertising company. Their services include advertising, branding, packaging design, print design, and more. The company is based in Kennesaw, Georgia.","Kennesaw, GA",GA,'2 - 9,Undisclosed,,,,,,
Prauper,https://themanifest.com/company/prauper,https://www.prauper.com/,"Prauper, an advertising company, is based in Houston, Texas. The small team provides advertising, custom software development, graphic design, marketing strategy, and more. The firm was launched in 2014.","Houston, TX",TX,'2 - 9,Undisclosed,,,,,,
Fantich Media Group,https://themanifest.com/company/fantich-media-group,https://fantichmedia.com/,"Fantich Media Group is a video production company. They are located in McAllen, Texas and have a small team. Their services include video production, advertising, social media marketing, and web design.","McAllen, TX",TX,'2 - 9,Undisclosed,,,,,,
SA Designs Unltd.,https://themanifest.com/company/sa-designs-unltd,https://www.sadesignsunltd.com/,"Based in Miami Beach, Florida, SA Designs Unltd. Is an advertising company. The small team provides advertising, branding, logo, print design, and more. The firm was established in 2002.","Miami Beach, FL",FL,'2 - 9,Undisclosed,,,,,,
Communication Design Inc,https://themanifest.com/company/communication-design-0-0,https://www.communicationdesign.com/,"Graphic design company Communication Design Inc was established in 1979. They are located in Richmond, Virginia and have a small team. Their services include graphic design, advertising, branding, logo, and more.","Richmond, VA",VA,'2 - 9,Undisclosed,,,,,,
Boom Ideanet,https://themanifest.com/company/boom-ideanet,https://boomideanet.com/,"Boom Ideanet is a branding agency established in 2011. They are in Kansas City, Missouri and have a small team. Their services include branding, logo, web design, advertising, and more.","Kansas City, MO",MO,'2 - 9,Undisclosed,,,,,,
"Dakota Group, Inc",https://themanifest.com/company/dakota-group,http://dakotagrp.com/,"Dakota Group, Inc is an advertising company. Established in 1993, the firm is headquartered in Litchfield, Connecticut. The small team offers advertising, branding, graphic design, print design, and more.","Litchfield, CT",CT,'2 - 9,Undisclosed,,,,,,
Unidos Marketing Network LLC.,https://themanifest.com/company/unidos-marketing-network,https://unidosmarketing.com/,"Unidos Marketing Network LLC. Is an advertising company. Their small team is based in Joliet, Illinois. The agency provides advertising, graphic design, social media marketing, video production, and more. The agency was founded in 2011.","Joliet, IL",IL,'2 - 9,Undisclosed,,,,,,
Whiskey Design,https://themanifest.com/company/whiskey-design,https://whiskeydesign.com/,"Whiskey Design is a Kansas City, Missouri-based advertising company. The small team specializes in advertising, branding, graphic design, packaging design, and more and was founded in 2006.","Kansas City, MO",MO,'2 - 9,Undisclosed,,,,,,
Distortion Design Inc.,https://themanifest.com/company/distortion-design,http://distortiondesign.com/,"Distortion Design Inc., an advertising company, was founded in 1996. The small team provides advertising, packaging design, web development, branding, and more. The firm is in Naperville, Illinois.","Naperville, IL",IL,'2 - 9,Undisclosed,,,,,,
"Red Crow Marketing, Inc.",https://themanifest.com/company/red-crow-marketing,https://www.redcrowmarketing.com/,"Red Crow Marketing, Inc. Is a graphic design agency. Their small team is headquartered in Springfield, Missouri. The agency provides graphic design, marketing strategy, advertising, logo, and more.","Springfield, MO",MO,'2 - 9,Undisclosed,,,,,,
Revel Advertising,https://themanifest.com/company/revel-advertising,http://www.reveladvertising.com,"Revel Advertising is a Springfield, Missouri-based advertising company. Founded in 2010, the small team specializes in advertising, graphic design, marketing strategy, logo, and more.","Springfield, MO",MO,'2 - 9,Undisclosed,,,,,,
"Wayne Scheiner & Co., Inc.",https://themanifest.com/company/wayne-scheiner-co,http://scheiner.com/,"In Albuquerque, New Mexico, Wayne Scheiner & Co., Inc. Is an advertising company. They specialize in advertising, graphic design, marketing strategy, web design, and more and were established in 1998.","Albuquerque, NM",NM,'2 - 9,Undisclosed,,,,,,
Figure 8 Creative,https://themanifest.com/company/figure-8-creative,https://www.figure8creative.com/,"Figure 8 Creative is a small Portland, Oregon-based advertising company. The team provides advertising, branding, graphic design, logo, and more.","Portland, OR",OR,'2 - 9,Undisclosed,,,,,,
Strateligent,https://themanifest.com/company/strateligent,https://www.strateligent.com/,"Small advertising company Strateligent, is located in Brainerd, Minnesota. They specialize in advertising, graphic design, packaging design, social media marketing, and more and were launched in 2004.","Brainerd, MN",MN,'2 - 9,Undisclosed,,,,,,
GCI Marketing • Advertising,https://themanifest.com/company/gci-marketing-advertising,http://www.gciad.com/,"GCI Marketing • Advertising is a small Olympia, Washington-based branding agency. They offer branding, graphic design, video production, web development, and more and were established in 1976.","Olympia, WA",WA,'2 - 9,Undisclosed,,,,,,
"Fleming & Company, Inc",https://themanifest.com/company/fleming-company,http://flemingandcompany.com/,"Headquartered in Newport, Rhode Island, Fleming & Company, Inc is a small graphic design agency. They focus on graphic design, web design, advertising, branding, and more and were established in 1993.","Newport, RI",RI,'2 - 9,Undisclosed,,,,,,
Ripple Marketing - Sioux Falls,https://themanifest.com/company/ripple-marketing-sioux-falls,https://ripplemarketing.com/,"Established in 2009, Ripple Marketing - Sioux Falls is an advertising company. The company offers advertising, logo, media planning & buying, video production, and more and has a small team.","Sioux Falls, SD",SD,'2 - 9,Undisclosed,,,,,,
effective design studio,https://themanifest.com/company/effective-design-studio,http://www.effectivedesign.com/,"Effective design studio is a Monroe, Washington-based advertising company. The small firm was founded in 1981. Their team focuses on advertising, branding, IT managed services, video production, and more.","Monroe, WA",WA,'2 - 9,Undisclosed,,,,,,
Technologic Chattanooga,https://themanifest.com/company/technologic-chattanooga,https://tlchatt.com/,"Based in Chattanooga, Tennessee, Technologic Chattanooga is an advertising company. The small team provides advertising, e-commerce development, search engine optimization, web design, and more. The agency was founded in 2012.","Chattanooga, TN",TN,'2 - 9,Undisclosed,,,,,,
Robin Easter Design,https://themanifest.com/company/robin-easter-design,http://www.robineaster.com/,"Robin Easter Design, an advertising company, was founded in 1989. The firm provides advertising, branding, event marketing & planning, graphic design, and more and has a small team. The firm is in Knoxville, Tennessee.","Knoxville, TN",TN,'2 - 9,Undisclosed,,,,,,
Grafik Touch Advertising Agency,https://themanifest.com/company/grafik-touch-advertising-agency,http://www.grafiktouch.com/,"Grafik Touch Advertising Agency is an advertising company. Their small team is located in Johnson City, Tennessee. The company specializes in advertising, branding, corporate photography, print design, and more.","Johnson City, TN",TN,'2 - 9,Undisclosed,,,,,,
Corchia Woliner Rhoda Associates,https://themanifest.com/company/corchia-woliner-rhoda-associates,https://www.cleverdesign.com/,"Corchia Woliner Rhoda Associates is an advertising company launched in 1980. They are located in New York, New York and have a small team. The agency provides advertising, graphic design, logo, other marketing, and more.","New York, NY",NY,'2 - 9,Undisclosed,,,,,,
Hummingbird Productions,https://themanifest.com/company/hummingbird-productions,https://www.hummingbirdproductions.com/,"Hummingbird Productions is an advertising company. The small Nashville, Tennessee-based firm was launched in 1976. Their team offers advertising, content marketing, media planning & buying, video production, and more.","Nashville, TN",TN,'2 - 9,Undisclosed,,,,,,
michaelmalone design,https://themanifest.com/company/michaelmalone-design,https://www.michaelmalonedesign.com/,"Michaelmalone design is a small Albany, New York-based advertising company. The team specializes in advertising, branding, graphic design, logo, and more.","Albany, NY",NY,'2 - 9,Undisclosed,,,,,,
Goulah Design Group,https://themanifest.com/company/goulah-design-group,http://www.goulahdesigngroup.com/,"Goulah Design Group is an advertising company launched in 2001. They are based in Buffalo, New York and have a small team. Their services include advertising, branding, logo, print design, and more.","Buffalo, NY",NY,'2 - 9,Undisclosed,,,,,,
Yaeger Public Relations,https://themanifest.com/company/yaeger-public-relations,http://yaegerpr.com/#,"Yaeger Public Relations is an advertising company. The small Yonkers, New York-based company was launched in 1997. Their team offers advertising, graphic design, logo, social media marketing, and more.","Yonkers, NY",NY,'2 - 9,Undisclosed,,,,,,
Robinson Design Company,https://themanifest.com/company/robinson-design-company,http://www.robinsondesignco.com/,"Robinson Design Company, a small advertising company, is headquartered in Binghamton, New York. The team offers advertising, graphic design, logo, business consulting, and more.","Binghamton, NY",NY,'2 - 9,Undisclosed,,,,,,
Knack4 Design,https://themanifest.com/company/knack4-design,http://www.knack4design.com,"Knack4 Design is an advertising company. Their small team is based in Huntington, New York. Their team offers advertising, branding, logo, packaging design, and more.","Huntington, NY",NY,'2 - 9,Undisclosed,,,,,,
Mitchell's Speedway Press,https://themanifest.com/company/mitchells-speedway-press,https://www.speedwaypress.com,"Mitchell's Speedway Press is an advertising company. Launched in 1930, the small company is based in Oswego, New York. Their services include advertising, graphic design, logo, out of home design, and more.","Oswego, NY",NY,'2 - 9,Undisclosed,,,,,,
Maven Creative,https://themanifest.com/company/maven-creative,http://mavencreative.com/,"Maven Creative is a small advertising company. Launched in 2008, the team focuses on advertising, custom software development, ux/ui design, branding, and more. The agency is headquartered in Orlando, Florida.","Orlando, FL",FL,'2 - 9,Undisclosed,,,,,,
Vectorloft,https://themanifest.com/company/vectorloft,http://vectorloft.com/,"Vectorloft , an advertising company, is located in Lake Ronkonkoma, New York. They provide advertising, branding, logo, web design, and more and were established in 1997.","Lake Ronkonkoma, NY",NY,'2 - 9,Undisclosed,,,,,,
"k2forma, Inc",https://themanifest.com/company/k2forma,https://k2forma.com/,"K2forma, Inc is a Nashville, Tennessee-based advertising company. They focus on advertising, digital strategy, graphic design, social media marketing, and more and were founded in 2007.","Nashville, TN",TN,'2 - 9,Undisclosed,,,,,,
Latocki Team Creative,https://themanifest.com/company/latocki-team-creative,http://www.latockiteamcreative.com/,"Latocki Team Creative is an advertising company launched in 1986. The small Nashville, Tennessee-based team offers advertising, branding, print design, web design, and more.","Nashville, TN",TN,'2 - 9,Undisclosed,,,,,,
VIDEO IDEAS PRODUCTIONS INC,https://themanifest.com/company/video-ideas-productions,http://cms.videoideas.com/,"VIDEO IDEAS PRODUCTIONS INC, an advertising company, is headquartered in Chattanooga, Tennessee. The agency provides advertising, logo, social media marketing, video production, and more and has a small team.The agency was launched in 1987.","Chattanooga, TN",TN,'2 - 9,Undisclosed,,,,,,
Relik,https://themanifest.com/company/relik,http://relik.co,"Advertising company Relik was founded in 2014. They are located in Chattanooga, Tennessee and have a small team. Relik focuses on advertising, branding, corporate photography, video production, and more.","Chattanooga, TN",TN,'2 - 9,Undisclosed,,,,,,
Seedling Marketing Group LLC,https://themanifest.com/company/seedling-marketing-group,http://seedlingmg.com/,"Seedling Marketing Group LLC is a small advertising company. In Murfreesboro, Tennessee, the firm was founded in 2014. Their services include advertising, graphic design, marketing strategy, video production, and more.","Murfreesboro, TN",TN,'2 - 9,Undisclosed,,,,,,
Sorvick Design,https://themanifest.com/company/sorvick-design,http://mohawkdesigns.com/,"Sorvick Design, an advertising company, is in Mt. Juliet, Tennessee. The small team provides advertising, branding, graphic design, print design, and more. The company was launched in 2014.","Mt. Juliet, TN",TN,'2 - 9,Undisclosed,,,,,,
Coffey Marketing and Creative,https://themanifest.com/company/coffey-marketing-creative,http://coffeymc.com/,"Founded in 2014, Coffey Marketing and Creative is a content marketing company. Their small team is based in Lewisburg, Tennessee and offers content marketing, print design, social media marketing, web design, and more.","Lewisburg, TN",TN,'2 - 9,Undisclosed,,,,,,
GT Creative,https://themanifest.com/company/gt-creative,https://www.gtcreativedesigns.com/,"GT Creative is an advertising company. They are based in Milwaukee, Wisconsin and have a small team. Their services include advertising, corporate photography, email marketing, logo, and more. The firm was established in 2005.","Milwaukee, WI",WI,'2 - 9,Undisclosed,,,,,,
Array Creative,https://themanifest.com/company/array-creative,http://www.arraycreative.com/,"Advertising company Array Creative was founded in 2004. Their small team is headquartered in Akron, Ohio and provides advertising, branding, e-commerce development, event marketing & planning, and more.","Akron, OH",OH,'2 - 9,Undisclosed,,,,,,
Longwater & Company,https://themanifest.com/company/longwater-company,http://pursuancemktg.com/,"Longwater & Company is an advertising company founded in 1981. Their small team is based in Savannah, Georgia. Their services include advertising, corporate photography, public relations, video production, and more.","Savannah, GA",GA,'2 - 9,Undisclosed,,,,,,
Fierce Strategy + Creative,https://themanifest.com/company/fierce-strategy-creative,http://brandfiercely.com,"Fierce Strategy + Creative is an advertising company. They are located in St. Simons Island, Georgia and have a small team that offers advertising, branding, digital strategy, print design, and more. The firm was founded in 2014.","St. Simons Island, GA",GA,'2 - 9,Undisclosed,,,,,,
"Tafgraphics Design Studio, Inc.",https://themanifest.com/company/tafgraphics-design-studio,https://www.tafgraphics.com/,"Launched in 2004, Tafgraphics Design Studio, Inc. Is a small advertising company. Their services include advertising, branding, e-commerce development, graphic design, and more. The agency is in Cumming, Georgia.","Cumming, GA",GA,'2 - 9,Undisclosed,,,,,,
BLNK,https://themanifest.com/company/blnk,https://blnkin.com/,"BLNK, a small advertising company, is in Washington, District of Columbia. They specialize in advertising, branding, packaging design, product design, and more and were established in 2014.","Washington, DC",DC,'2 - 9,Undisclosed,,,,,,
Urban Finch,https://themanifest.com/company/urban-finch,http://urbanfinch.com/,"Urban Finch is a small advertising company. They offer advertising, branding, logo, other design, and more and were established in 2009.","Omaha, NE",NE,'2 - 9,Undisclosed,,,,,,
Frost Media Group,https://themanifest.com/company/frost-media-group,https://frostmediagroup.com/,"Frost Media Group is a small video production agency. Founded in 2007, the firm is based in Omaha, Nebraska. Their services include video production, advertising, broadcast video, and email marketing.","Omaha, NE",NE,'2 - 9,Undisclosed,,,,,,
Communiqué,https://themanifest.com/company/communiqu,https://www.communiquellc.com/,"Communiqué is a business consulting company. The small New Orleans, Louisiana-based company was founded in 2018. Their team specializes in business consulting, advertising, event marketing & planning, graphic design, and more.","New Orleans, LA",LA,'2 - 9,Undisclosed,,,,,,
Edison Creative,https://themanifest.com/company/edison-creative,https://edisoncreative.com/,"Edison Creative is an Omaha, Nebraska-based video production company. The small agency was founded in 2005. Their team specializes in video production, advertising, broadcast video, and social media marketing.","Omaha, NE",NE,'2 - 9,Undisclosed,,,,,,
FINDit,https://themanifest.com/company/findit,https://finditdigital.com/,"FINDit is a small advertising company. The Lenexa, Kansas-based firm was established in 2009. Their services include advertising, video production, graphic design, search engine optimization, and more.","Lenexa, KS",KS,'2 - 9,Undisclosed,,,,,,
Eagle River Printing,https://themanifest.com/company/eagle-river-printing,https://erprinting.com/,"Eagle River Printing is an advertising company. Established in 1989, the team provides advertising, branding, content marketing, graphic design, and more. Their small agency is headquartered in Anchorage, Alaska.","Anchorage, AK",AK,'2 - 9,Undisclosed,,,,,,
Planetguide,https://themanifest.com/company/planetguide,https://planetguide.com/,"Planetguide, a small advertising company, is in Metairie, Louisiana. They focus on advertising, content marketing, e-commerce development, social media marketing, and more and were launched in 1995.","Metairie, LA",LA,'2 - 9,Undisclosed,,,,,,
"Arbor Creative, LLC",https://themanifest.com/company/arbor-creative,https://arborcreativellc.com/,"Arbor Creative, LLC is an advertising company founded in 2016. The small team focuses on advertising, logo, search engine optimization, video production, and more. The company is based in La Vista, Nebraska.","La Vista, NE",NE,'2 - 9,Undisclosed,,,,,,
Superspace Creative,https://themanifest.com/company/superspace-creative,https://superspacecreative.com/,"Superspace Creative is a small advertising company launched in 2017. Their services include advertising, branding, broadcast video, IT strategy consulting, and more. The firm is based in Oak Park, Michigan and Anchorage, Alaska.","Oak Park, MI",MI,'2 - 9,Undisclosed,,,,,,
SDB Creative Group,https://themanifest.com/company/sdb-creative-group-0,https://www.hiresdb.com/,"Advertising company SDB Creative Group was established in 2005. The small Austin, Texas-based team offers advertising, graphic design, social media marketing, video production, and more.","Austin, TX",TX,'2 - 9,Undisclosed,,,,,,
LIPS Printing,https://themanifest.com/company/lips-printing,https://www.lipsprintzone.com/,"LIPS Printing, an advertising company, was founded in 1977. Based in Kearney, Nebraska, their small team offers advertising, graphic design, logo, media planning & buying, and more.","Kearney, NE",NE,'2 - 9,Undisclosed,,,,,,
"Prime Design Solutions, Inc.",https://themanifest.com/company/prime-design-solutions,https://www.primedesignsolutions.com/,"Small advertising company Prime Design Solutions, Inc., is located in Johnstown, Pennsylvania. They offer advertising, branding, graphic design, logo, and more and were founded in 2005.","Johnstown, PA",PA,'2 - 9,Undisclosed,,,,,,
Fiore Design,https://themanifest.com/company/fiore-design,https://fioredesign.net/,"Fiore Design, a small advertising company, is based in Haverford, Pennsylvania. The team focuses on advertising, branding, graphic design, logo, and more.","Haverford, PA",PA,'2 - 9,Undisclosed,,,,,,
Becker Design,https://themanifest.com/company/becker-design,https://www.beckerdesign.net,"Becker Design, an advertising company, was established in 1992. Their small team is located in Thiensville, Wisconsin and focuses on advertising, branding, graphic design, logo, and more.","Thiensville, WI",WI,'2 - 9,Undisclosed,,,,,,
"MLatino Media, LLC",https://themanifest.com/company/mlatino-media,https://www.mlatinomedia.com/,"MLatino Media, LLC, a video production agency, was launched in 2014. Their small team is based in Minneapolis, Minnesota. Their services include video production, advertising, branding, and graphic design.","Minneapolis, MN",MN,'2 - 9,Undisclosed,,,,,,
Axio Design,https://themanifest.com/company/axio-design,http://www.axiodesign.com/,"Based in Colorado Springs, Colorado, Axio Design is a small advertising company. Their services include advertising, branding, graphic design, logo, and more.","Colorado Springs, CO",CO,'2 - 9,Undisclosed,,,,,,
Impress Design,https://themanifest.com/company/impress-design,https://www.impress-design.com/,"Impress Design is an advertising company headquartered in Parker, Colorado. Founded in 2005, the small team provides advertising, branding, graphic design, logo, and more.","Parker, CO",CO,'2 - 9,Undisclosed,,,,,,
Wield Agency,https://themanifest.com/company/wield-agency,https://wield.io,"Wield Agency, an advertising company, was established in 2004. The firm offers advertising, ux/ui design, branding, digital strategy, and more and has a small team.","Etna, NH",NH,'2 - 9,Undisclosed,,,,,,
Roundtree Agency,https://themanifest.com/company/roundtree-agency,https://roundtreeagency.com,"Roundtree Agency is a Chattanooga, Tennessee-based advertising company. The company offers advertising, content marketing, digital strategy, social media marketing, and more and is small.The company was launched in 2014.","Chattanooga, TN",TN,'2 - 9,Undisclosed,,,,,,
LeadGen Strategic,https://themanifest.com/company/leadgen-strategic,http://leadgenstrategic.com,"LeadGen Strategic, an advertising company, was founded in 2017. They are based in Boston, Massachusetts and Long Beach, California and have a small team. LeadGen Strategic provides advertising, branding, graphic design, business consulting, and more.","Boston, MA",MA,'2 - 9,Undisclosed,,,,,,
Inkfish Creative,https://themanifest.com/company/inkfish-creative,http://www.inkfishcreative.com/,"Inkfish Creative is an advertising company headquartered in Great Falls, Montana. The small agency was launched in 2010. Their team offers advertising, branding, graphic design, video production, and more.","Great Falls, MT",MT,'2 - 9,Undisclosed,,,,,,
World Wide Web Designers,https://themanifest.com/company/world-wide-web-designers,https://w3dinc.com/,"World Wide Web Designers, an advertising company, is based in Hoffman Estates, Illinois. The small firm was established in 2014. Their team offers advertising, logo, search engine optimization, web design, and more.","Hoffman Estates, IL",IL,'2 - 9,Undisclosed,,,,,,
Creative Ground LLC,https://themanifest.com/company/creative-ground,http://creativegroundllc.com/,"Creative Ground LLC is an advertising company established in 2012. Their small team is in Downers Grove, Illinois. The company specializes in advertising, graphic design, search engine optimization, video production, and more.","Downers Grove, IL",IL,'2 - 9,Undisclosed,,,,,,
Green Light Creative,https://themanifest.com/company/green-light-creative,http://greenlightcreative.com/,"Established in 1997, Green Light Creative is an advertising company. The firm focuses on advertising, logo, packaging design, print design, and more and has a small team. The firm is headquartered in Hammond, Indiana.","Hammond, IN",IN,'2 - 9,Undisclosed,,,,,,
Bassett & Brush,https://themanifest.com/company/bassett-brush,http://www.bassettandbrush.com/,"Advertising company Bassett & Brush was established in 1985. The small team provides advertising, branding, graphic design, video production, and more. The agency is located in Spokane, Washington.","Spokane, WA",WA,'2 - 9,Undisclosed,,,,,,
Sally Johns Design + Strategic Marketing,https://themanifest.com/company/sally-johns-design-strategic-marketing,https://www.sallyjohnsdesign.com/,"Sally Johns Design + Strategic Marketing is an advertising company located in Raleigh, North Carolina. They focus on advertising, graphic design, market research, print design, and more and were launched in 1977.","Raleigh, NC",NC,'2 - 9,Undisclosed,,,,,,
Thrive Marketing Strategies,https://themanifest.com/company/thrive-marketing-strategies,http://thrivemarketingstrategies.com/,"Thrive Marketing Strategies is an Evansville, Indiana-based advertising company. The small firm was established in 2014. Their team provides advertising, content marketing, corporate photography, search engine optimization, and more.","Evansville, IN",IN,'2 - 9,Undisclosed,,,,,,
"Tigermoth Creative, LLC",https://themanifest.com/company/tigermoth-creative,http://tigermothcreative.com/,"Advertising company Tigermoth Creative, LLC was established in 2015. The company provides advertising, branding, corporate photography, graphic design, and more and has a small team.","Greensboro, NC",NC,'2 - 9,Undisclosed,,,,,,
Built Creative,https://themanifest.com/company/built-creative,https://builtcreative.com/,"Built Creative is an advertising company launched in 2005. They are in Apex, North Carolina and have a small team. Their services include advertising, branding, graphic design, logo, and more.","Apex, NC",NC,'2 - 9,Undisclosed,,,,,,
Inspire Creative Studios,https://themanifest.com/company/inspire-creative-studios,http://inspirenc.com/,"Founded in 2005, Inspire Creative Studios is an advertising company. Located in Wilmington, North Carolina, their small team focuses on advertising, branding, content marketing, graphic design, and more.","Wilmington, NC",NC,'2 - 9,Undisclosed,,,,,,
Indicative Marketing,https://themanifest.com/company/indicative-marketing,https://indicativemarketing.com/,"Indicative Marketing is a web design agency. The Worcester, Massachusetts-based company was launched in 2018. The small team offers web design, business consulting, advertising, branding, and more.","Worcester, MA",MA,'2 - 9,Undisclosed,,,,,,
Afinastar,https://themanifest.com/company/afinastar,http://www.afinastar.com/,"Branding firm Afinastar is headquartered in Stockton, California. They provide branding, logo, business consulting, social media marketing, and more and were founded in 2004.","Stockton, CA",CA,'2 - 9,Undisclosed,,,,,,
Anaheim Studios,https://themanifest.com/company/anaheim-studios,https://anaheimstudios.com/,"Founded in 2013, Anaheim Studios is an advertising company. The small team provides advertising, branding, broadcast video, corporate photography, and more. The agency is headquartered in Hawthorne, California.","Hawthorne, CA",CA,'2 - 9,Undisclosed,,,,,,
"Sublmnl Design, LLC",https://themanifest.com/company/sublmnl-design,http://sublmnldesign.com/web/,"Sublmnl Design, LLC, an advertising company, is based in Concord, North Carolina. The small team specializes in advertising, branding, logo, packaging design, and more. The firm was launched in 2006.","Concord, NC",NC,'2 - 9,Undisclosed,,,,,,
pushingink LLC,https://themanifest.com/company/pushingink,https://www.pushingink.com/,"Pushingink LLC is an advertising company. They offer advertising, branding, graphic design, web design, and more and were founded in 2010. Their small team is in Lancaster, Pennsylvania.","Lancaster, PA",PA,'2 - 9,Undisclosed,,,,,,
Webster Design,https://themanifest.com/company/webster-design,http://websterdesign.net/,"Webster Design, an advertising company, is located in Vista, California. The small team offers advertising, branding, graphic design, video production, and more and was founded in 1986.","Vista, CA",CA,'2 - 9,Undisclosed,,,,,,
Baldino Digital,https://themanifest.com/company/baldino-digital,https://www.baldinodigital.com/,"Baldino Digital, an advertising company, is located in Scranton, Pennsylvania. Launched in 2014, the small team offers advertising, corporate photography, graphic design, social media marketing, and more.","Scranton, PA",PA,'2 - 9,Undisclosed,,,,,,
Rise Online Marketing,https://themanifest.com/company/rise-online-marketing,https://www.riseonlinemarketing.com/,"Small advertising company Rise Online Marketing, is based in Lindon, Utah. Launched in 2014, the team offers advertising, e-commerce development, pay per click, web design, and more.","Lindon, UT",UT,'2 - 9,Undisclosed,,,,,<$10K 1 project,
